Type of product,Search Modifiers
D25-Broad-spectrum disinfectant for surfaces and touchpoints,
D25-Surface sanitizing wipes,
D26-Heavy-duty toilet and urinal cleaner,
D26-Restroom deodorizer,
D26-Restroom air freshener,
D26-Shower and tile cleaner,
D27-Streak-free glass cleaner for large window areas,
D28-Degreaser for food service areas,
D28-Grill cleaner,
D28-Oven and appliance cleaner,
D28-Food-safe surface sanitizers,
D29-Air freshener,
D29-Odor eliminator,
D30-Stainless steel polish and cleaner for fixtures and fittings,
D30-Escalator cleaner,
D30-Escalator tread brightener,
D31-Epoxy cleaner for heavy-traffic parking lot area,
D32-HVAC system cleaner,
D32-HVAC system deodorizer,
D33-Fabric refresher,
D34-Body refreshing wipe with deodorizing properties,
D34-White sponge for cleaning ,
"U1-Heavy-duty multi-surface cleaner machinery, workbenches, and industrial equipment",officesupply:general purpose cleaner
U1-Wood furniture cleaner,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime 
U2-General hard floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
U2-Hard floor polish,
U2-Marble floor cleaner,
U2-Hardwood and laminate floor cleaner,officesupply:wood floor cleaner
U2-High performance waterless carpet cleaner,
U2-High performance carpet shampoo,gogreen: carpet shampoo
U2-Stain spot remover,gogreen:Dry Stain Remover
U3-Streak-free glass cleaner for large window areas,fine:Glass cleaner; gogreen:glass cleaner; officesupply:glass cleaner
U4-Broad-spectrum disinfectants for sanitizing work areas and break rooms ,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
U4-Surface disinfectant wet rags,
U5-Toilet and urinal cleaner,officesupply:toilet cleaner
U5-Restroom deodorizer,officesupply:Blue Drops Automatic Bowl Cleaner - Hygiene Supplies | unbranded
U5-Restroom air freshener,officesupply:air freshener
U5-Shower and tile cleaner,officesupply:bathroom cleaner
U6-Heavy-duty degreaser for machinery and equipment,gogreen:Degrease and Multi-Purpose
U6-Stainless steel polish,gogreen:Box Metal and stainless-steel cleaner and polisher; officesupply:stainless steel cleaner
U7-Rubber mats and non-slip floor cleaner,
U7-Heavy-duty floor degreasers,
U8-Degreaser for food service areas,gogreen:Degrease and Multi-Purpose; officesupply:degreaser
U8-Food-safe surface sanitizers,gogreen:Surface Cleaner and Disinfectant; officesupply:surface sanitizer
U8-Grill cleaner,officesupply:grill cleaner
U8-Oven and appliance cleaner,gogreen:Oven kitchen Cleaner
U8-Kitchen odor eliminator,
U10-Air freshener,officesupply:air freshener
U10-Odor neutralizer,
U12-Escalator cleaner,
U12-Escalator tread brightener,
U13-Epoxy cleaner for heavy-traffic parking lot area,
U14-HVAC system cleaner,gogreen:Air Conditioner and Coil Cleaner 
U14-HVAC system deodorizer,
U16-Fabric refresher,officesupply:Air and Fabric Freshener
U17-White sponge for surface cleaning,
P1-Anti-itch and hot spot sprays, for pets
H13-Makeup brush cleanser, liquid
