Type of product,Sub industry,Industry,Generic product type,Search Modifiers
L1-Low-moisture waterless carpet cleaner,Spas and salons,Facilities management,Carpet shampoo,
L1-High performance carpet shampoo,Spas and salons,Facilities management,Carpet shampoo,gogreen:carpet shampoo
L1-Stain spot remover,Spas and salons,Facilities management,Stain remover,gogreen:stain remover
L1-Streak-free glass cleaner for mirrors and windows,Spas and salons,Facilities management,Glass cleaner,fine:Glass cleaner; gogreen:glass cleaner; officesupply:glass cleaner
L2-Broad-spectrum disinfectant for spas and salons equipment,Spas and salons,Facilities management,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
L2-Surface disinfectant wet rags for spas and salons equipment,Spas and salons,Facilities management,Cleaning wet wipes,
L3-Toilet bowl and urinal cleaner,Spas and salons,Facilities management,"Toilet, shower and tile cleaner",officesupply:toilet cleaner
L3-Mildew and mold remover for wet areas,Spas and salons,Facilities management,Disinfectant and cleaner,
L3-Antibacterial hand soap,Spas and salons,Facilities management,Hand soap,fine:Liquid Soap Fine Solutions; gogreen:hand soap; officesupply:hand soap
L3-Shower and tile cleaner,Spas and salons,Facilities management,"Toilet, shower and tile cleaner",officesupply: bathroom cleaner
L4-Air freshener,Spas and salons,Facilities management,Air freshener,officesupply: air freshener
L4-Extreme odor neutralizer,Spas and salons,Facilities management,Odor eliminator,
L4-Sewage odor control spray,Spas and salons,Facilities management,Odor eliminator,
L5-HVAC system cleaner,Spas and salons,Facilities management,Disinfectant and cleaner,gogreen:Air Conditioner and Coil Cleaner 
L5-HVAC system deodorizer,Spas and salons,Facilities management,Odor eliminator,
L6-Stain remover for laundry,Spas and salons,Facilities management,Stain remover,gogreen:stain remover
L6-Sanitizing fabric refresher for towels,Spas and salons,Facilities management,Fabric refresher,officesupply:Air and Fabric Freshener
L8-Body refreshing wipe with deodorizing properties,Spas and salons,Facilities management,Cleaning wet wipes,
L9-White sponge for surface cleaning,Spas and salons,Facilities management,Sponge,
E1-General purpose cleaner,Hotels,Horeca,General purpose cleaner,officesupply:general purpose cleaner
E1-Wood furniture cleaner,Hotels,Horeca,Furniture polish,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime 
E1-Leather cleaner,Hotels,Horeca,Leather and vinyl cleaner,officesupply:leather cleaner
E2-General hard floor cleaner,Hotels,Horeca,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
E2-Hard floor polish,Hotels,Horeca,Floor polish,
E2-High performance waterless carpet cleaner,Hotels,Horeca,Stain remover,
E2-High performance carpet shampoo,Hotels,Horeca,Carpet shampoo,gogreen:carpet shampoo
E2-Stain spot remover,Hotels,Horeca,Stain remover,gogreen:Dry Stain Remover
E2-Marble floor cleaner,Hotels,Horeca,Marble floor cleaner,
E2-Hardwood and laminate floor cleaner,Hotels,Horeca,Floor cleaner,officesupply:wood floor cleaner
"E3-Broad-spectrum disinfectant for surfaces, mattress and touchpoints",Hotels,Horeca,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
E3-Surface disinfectant wet rags,Hotels,Horeca,Cleaning wet wipes,
E4-Heavy-duty toilet and urinal cleaner,Hotels,Horeca,"Toilet, shower and tile cleaner",officesupply:toilet cleaner
E4-Restroom deodorizer,Hotels,Horeca,Odor eliminator,officesupply:Blue Drops Automatic Bowl Cleaner - Hygiene Supplies | unbranded
E4-Restroom air freshener,Hotels,Horeca,Air freshener,officesupply:air refresher
E4-Shower and tile cleaner,Hotels,Horeca,"Toilet, shower and tile cleaner",officesupply:bathroom cleaner
E4-Sewage odor control spray,Hotels,Horeca,Odor eliminator,
E5-Streak-free glass cleaner for large window areas,Hotels,Horeca,Glass cleaner,fine:Glass cleaner; gogreen:glass cleaner; officesupply:glass cleaner
E6-Degreaser for food service areas,Hotels,Horeca,Degreaser,gogreen:Degrease and Multi-Purpose; officesupply:degreaser
E6-Grill cleaner,Hotels,Horeca,Degreaser,officesupply:grill cleaner
E6-Oven and appliance cleaner,Hotels,Horeca,Degreaser,gogreen:Oven kitchen Cleaner
